AVERAGE MONTHLY RANK CORRELATIONS OVER 60 MONTHS
Universe Name: Russell 2000
Factor Code: NIStab
Factor Name: Net Income Stability
Tab Name: Zero
Created Date: 2024-07-25

Category,Factor Name,Correlation,T-Stat
Analyst Expectations,Expected LTG,-0.0276995850300044,-3.90493727812348
Price Momentum,5 Day Price Reversal,-0.0307766737272188,-1.83313804645533
Analyst Expectations,Analyst Earnings Estimate Diffusion,0.0449642507115188,3.30787200574379
Earnings Quality,Cash Conversion Cycle,-0.0504078929988603,-9.17622716021849
Price Momentum,Price Momentum,0.0544806651698558,3.40219214593815
Price Momentum,1M Price Reversal,-0.0574713717153096,-3.56653600525837
Price Momentum,1M Price High - 1M Price Low,-0.0611730869785196,-4.14789232795524
Historical Growth,1Y Chg in Sales Turnover,-0.0661013199147486,-7.02604585024534
Capital Efficiency,Long Term Debt to Equity Ratio,0.0872557977958935,26.0740091710382
Analyst Expectations,Number of EPS FY1 Revisions,0.107212234645934,6.37684149815971

Correlation (Factors)
,Analyst Expectations,Price Momentum,Analyst Expectations,Earnings Quality,Price Momentum,Price Momentum,Price Momentum,Historical Growth,Capital Efficiency,Analyst Expectations
Date,Expected LTG,5 Day Price Reversal,Analyst Earnings Estimate Diffusion,Cash Conversion Cycle,Price Momentum,1M Price Reversal,1M Price High - 1M Price Low,1Y Chg in Sales Turnover,Long Term Debt to Equity Ratio,Number of EPS FY1 Revisions
2014-02-28,-0.0131893017754828,-0.0532360041377123,0.0567172194011554,-0.0499972590451816,-0.0270086499861797,-0.00851992439673952,-0.125237857289784,-0.130412696929338,0.0703815859265982,0.0466154898772675
2014-03-31,-0.0122676776143196,-0.0492276238730569,0.0265980306971126,-0.0345523169393335,-0.0318993385264235,-0.108529955069376,-0.0727144410772099,-0.105517710786362,0.0536214536066483,0.0373881681413323
2014-04-30,-0.0308785235355755,-0.023527996320462,0.036758328387738,-0.0400039720264765,0.0250759530025873,-0.112017135991058,-0.0138735873258092,-0.1023069740081,0.0332262346416953,0.0581943150657149
2014-05-31,-0.01611369784428,0.0649835694052338,0.058587327472491,-0.0660507741650829,0.0860001248653762,-0.047587527822894,-0.0365545891183192,-0.125096625988144,0.0398537388780178,0.0727115878047986
2014-06-30,-0.0152272134119388,-0.0491649176327135,0.0147347533238043,-0.0659120388257936,0.0527822861425069,0.0383218006359641,-0.0477883630490926,-0.116819540836304,0.0433217920784948,0.0629403344193787
2014-07-31,0.025645941539498,-0.00263177642763845,0.0607200502878436,-0.0984456239800874,0.0174715040746725,-0.0576970428428442,0.0702790477895564,-0.0994981001737067,0.0724254626111855,0.0725034297956346
2014-08-31,0.00426405829549627,0.141916789533295,0.0886115129640181,-0.0990901148444301,0.0523012850890063,0.00768660025036818,-0.0350802909734394,-0.0988150425843386,0.0706100148794198,0.101155902061929
2014-09-30,-0.000434145759872277,-0.084612441841508,0.0401888613478092,-0.0977832844245231,-0.0280813095311664,-0.143338004849647,0.0333972572616048,-0.0993424751780048,0.0750773824698004,0.104666883387619
2014-10-31,-0.0324153730557362,-0.114705872034106,0.0688165553040505,-0.0866992802284598,-0.0981573618459487,-0.163356691126028,-0.222290097752253,-0.0874448441432768,0.0734880893567124,0.0788523099233485
2014-11-30,-0.0285140257124647,0.0491755131439847,0.0894364611427128,-0.0843534275712891,0.115205412168261,-0.0321376660571098,0.0147680379649379,-0.0858264507982509,0.0554153919576822,0.100344325835733
