AVERAGE MONTHLY RANK CORRELATIONS OVER 60 MONTHS
Universe Name: S&P 500
Factor Code: SUEC
Factor Name: Standardized Unexpected Earnings
Tab Name: Negative
Created Date: 2024-07-25

Category,Factor Name,Correlation,T-Stat
Valuation,Dividends to Price Ratio,-0.136491287533134,-18.7242561836229
Valuation,Book to Price,-0.121723159857622,-17.7381648382113
Valuation,EBITDA to Enterprise Value,-0.0887041115687793,-10.3005330960502
Price Momentum,1M Price Reversal,-0.0809399808307729,-6.78297574432155
Earnings Quality,Cash Conversion Cycle,-0.0781489572932234,-11.7336267555116
Price Momentum,1M Price High - 1M Price Low,-0.0705695701166258,-5.96717165332653
Size,Log Market Cap,-0.068799630047221,-10.8596474051647
Volatility,1M Realized Price Volatility,-0.0598583199153308,-5.87469135121019
Volatility,12M Realized Price Volatility,-0.0425974888638898,-4.26600843606396
Price Momentum,5 Day Price Reversal,-0.0383585590620607,-3.09976087722191

Correlation (Factors)
,Valuation,Valuation,Valuation,Price Momentum,Earnings Quality,Price Momentum,Size,Volatility,Volatility,Price Momentum
Date,Dividends to Price Ratio,Book to Price,EBITDA to Enterprise Value,1M Price Reversal,Cash Conversion Cycle,1M Price High - 1M Price Low,Log Market Cap,1M Realized Price Volatility,12M Realized Price Volatility,5 Day Price Reversal
2007-03-31,-0.108331994839258,-0.0679757995902145,-0.0954572517449707,-0.100194348075875,-0.0558639571703895,-0.0439016874029332,-0.0567503726558025,-0.0387741717422231,-0.0584459698574072,0.0241396054446324
2007-04-30,-0.0405721508321761,-0.128859092490523,-0.0830693006839448,-0.224657621294307,-0.124911520650657,-0.223389828435273,-0.184128712668855,-0.0767952560841912,-0.0541970803172742,-0.189247989804841
2007-05-31,-0.0524904214196515,-0.158492116938189,-0.0562234716184061,-0.145411650037978,-0.118182671991179,-0.12445981147087,-0.197949426732399,-0.0874267018284439,-0.0874964269662955,-0.0922853031947946
2007-06-30,-0.0664235744146348,-0.141864533157513,-0.0504219830229991,-0.0342238003173101,-0.119492670545745,-0.0191990899083863,-0.176646282551764,-0.0269088188638411,-0.0561591993668711,-0.0957138036373222
2007-07-31,-0.101559181552023,-0.0988576155348976,-0.0407607940161776,-0.253396690676847,-0.110448365785544,-0.221923270786561,-0.138555652838461,-0.016177767057047,-0.045621494761149,-0.196243463162067
2007-08-31,-0.103926197519245,-0.073100722279121,-0.0112080288649885,-0.147712224254142,-0.0786743362256936,-0.103560094474618,-0.172391025595963,0.0210112722256061,0.00630384110852932,-0.105960985043568
2007-09-30,-0.128068456660394,-0.102305846901306,-0.026690102288981,-0.206420622197638,-0.0456976932774626,-0.203873601367615,-0.20073348365219,0.00907773253754715,0.00339239448749554,-0.105768391181381
2007-10-31,-0.160634555884637,-0.172110505173862,-0.0466680847755261,-0.299728565387123,-0.00578594386954193,-0.21851766285976,-0.142271952646124,-0.0215031692569254,-0.0284336367913092,-0.131536277102167
2007-11-30,-0.155382691886899,-0.161500256678052,-0.0261532139931716,-0.141260246459846,-0.0314006029429093,0.0063067136440062,-0.116874862481834,-0.189190359531422,-0.0930716596933666,0.16124769584908
2007-12-31,-0.169595818386888,-0.191453608187373,-0.0497519323625112,-0.14793385453501,-0.0448206283830242,-0.0637436471598299,-0.118647356216134,-0.208541666362696,-0.130331359561408,-0.0280313806477966
2008-01-31,-0.242695489237311,-0.175150317778559,-0.0602354540614635,0.0691942519301632,-0.0588531777413725,0.114755717542526,-0.0500644871878373,-0.146896269136058,-0.131717241637696,0.0443105558367091
2008-02-29,-0.23082277805467,-0.161105095464217,-0.0285023274254479,-0.254188358928658,-0.0122442156534344,-0.158984508246144,-0.0516408976485376,-0.19157383963951,-0.165449996952535,-0.173442133991658
2008-03-31,-0.202215643297404,-0.134943947204128,0.0221299424167986,-0.0621344865069552,-0.0228130844062277,-0.0446910010507341,-0.0434409649639465,-0.222239931666793,-0.171373262508406,-0.130527766099007
